source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getSeparator,"public static edu.stanford.nlp.parser.shiftreduce.State.HeadPosition getSeparator(TreeShapedStack<edu.stanford.nlp.parser.shiftreduce.State.HeadPosition>, int) ","(27, 31)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getSeparator,"public static edu.stanford.nlp.parser.shiftreduce.State.HeadPosition getSeparator(TreeShapedStack<edu.stanford.nlp.parser.shiftreduce.State.HeadPosition>, int) ","(27, 29)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getStackLabel,"public static transient edu.stanford.nlp.ling.CoreLabel getStackLabel(TreeShapedStack<edu.stanford.nlp.trees.Tree>, int, edu.stanford.nlp.parser.shiftreduce.BasicFeatureFactory.Transition[]) ","(46, 74)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getStackLabel,"public static transient edu.stanford.nlp.ling.CoreLabel getStackLabel(TreeShapedStack<edu.stanford.nlp.trees.Tree>, int, edu.stanford.nlp.parser.shiftreduce.BasicFeatureFactory.Transition[]) ","(71, 74)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getStackLabel,"public static transient edu.stanford.nlp.ling.CoreLabel getStackLabel(TreeShapedStack<edu.stanford.nlp.trees.Tree>, int, edu.stanford.nlp.parser.shiftreduce.BasicFeatureFactory.Transition[]) ","(43, 74)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getStackLabel,"public static transient edu.stanford.nlp.ling.CoreLabel getStackLabel(TreeShapedStack<edu.stanford.nlp.trees.Tree>, int, edu.stanford.nlp.parser.shiftreduce.BasicFeatureFactory.Transition[]) ","(39, 41)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getStackLabel,"public static transient edu.stanford.nlp.ling.CoreLabel getStackLabel(TreeShapedStack<edu.stanford.nlp.trees.Tree>, int, edu.stanford.nlp.parser.shiftreduce.BasicFeatureFactory.Transition[]) ","(39, 43)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getQueueLabel,"public static edu.stanford.nlp.ling.CoreLabel getQueueLabel(List<edu.stanford.nlp.trees.Tree>, int, int) ","(83, 86)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getQueueLabel,"public static edu.stanford.nlp.ling.CoreLabel getQueueLabel(List<edu.stanford.nlp.trees.Tree>, int, int) ","(83, 85)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getQueueLabel,"public static edu.stanford.nlp.ling.CoreLabel getQueueLabel(List<edu.stanford.nlp.trees.Tree>, int, int) ","(82, 86)"
../projects/CoreNLP/src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,getQueueLabel,"public static edu.stanford.nlp.ling.CoreLabel getQueueLabel(List<edu.stanford.nlp.trees.Tree>, int, int) ","(82, 85)"
