source_filename,function_name,loc_suggestion
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,<init>,"(44, 45)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,<init>,"(43, 44)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,<init>,"(42, 43)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,<init>,"(43, 45)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,<init>,"(42, 44)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(55, 59)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(74, 84)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(107, 113)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(106, 113)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(118, 121)"
projects/CoreNLP/src/edu/stanford/nlp/parser/lexparser/TreeCollinizer.java,transformTree,"(114, 121)"
