source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopStringLiteralDfa_0,"private final int jjStopStringLiteralDfa_0(int, long) ","(23, 24)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopStringLiteralDfa_0,"private final int jjStopStringLiteralDfa_0(int, long) ","(33, 34)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopStringLiteralDfa_0,"private final int jjStopStringLiteralDfa_0(int, long) ","(32, 34)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopStringLiteralDfa_0,"private final int jjStopStringLiteralDfa_0(int, long) ","(32, 33)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopStringLiteralDfa_0,"private final int jjStopStringLiteralDfa_0(int, long) ","(41, 42)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopAtPos,"private int jjStopAtPos(int, int) ","(138, 139)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopAtPos,"private int jjStopAtPos(int, int) ","(137, 138)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa1_0,private int jjMoveStringLiteralDfa1_0(long) ,"(173, 174)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa1_0,private int jjMoveStringLiteralDfa1_0(long) ,"(176, 193)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa2_0,"private int jjMoveStringLiteralDfa2_0(long, long) ","(198, 226)"
