source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopAtPos,"private int jjStopAtPos(int, int) ","(30, 31)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStopAtPos,"private int jjStopAtPos(int, int) ","(29, 30)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStartNfaWithStates_1,"private int jjStartNfaWithStates_1(int, int, int) ","(52, 54)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStartNfaWithStates_1,"private int jjStartNfaWithStates_1(int, int, int) ","(51, 54)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjStartNfaWithStates_1,"private int jjStartNfaWithStates_1(int, int, int) ","(50, 51)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveNfa_1,"private int jjMoveNfa_1(int, int) ","(71, 72)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveNfa_1,"private int jjMoveNfa_1(int, int) ","(478, 480)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveNfa_1,"private int jjMoveNfa_1(int, int) ","(478, 479)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveNfa_1,"private int jjMoveNfa_1(int, int) ","(476, 481)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveNfa_1,"private int jjMoveNfa_1(int, int) ","(479, 480)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa1_0,private int jjMoveStringLiteralDfa1_0(long) ,"(519, 535)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa2_0,"private int jjMoveStringLiteralDfa2_0(long, long) ","(540, 566)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa2_0,"private int jjMoveStringLiteralDfa2_0(long, long) ","(544, 566)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa3_0,"private int jjMoveStringLiteralDfa3_0(long, long) ","(571, 593)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa3_0,"private int jjMoveStringLiteralDfa3_0(long, long) ","(580, 582)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa3_0,"private int jjMoveStringLiteralDfa3_0(long, long) ","(575, 593)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa4_0,"private int jjMoveStringLiteralDfa4_0(long, long) ","(598, 625)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa4_0,"private int jjMoveStringLiteralDfa4_0(long, long) ","(602, 625)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa5_0,"private int jjMoveStringLiteralDfa5_0(long, long) ","(630, 658)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa5_0,"private int jjMoveStringLiteralDfa5_0(long, long) ","(647, 648)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa5_0,"private int jjMoveStringLiteralDfa5_0(long, long) ","(645, 650)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa5_0,"private int jjMoveStringLiteralDfa5_0(long, long) ","(645, 649)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa5_0,"private int jjMoveStringLiteralDfa5_0(long, long) ","(634, 658)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa6_0,"private int jjMoveStringLiteralDfa6_0(long, long) ","(663, 694)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa6_0,"private int jjMoveStringLiteralDfa6_0(long, long) ","(667, 694)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa7_0,"private int jjMoveStringLiteralDfa7_0(long, long) ","(699, 709)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa7_0,"private int jjMoveStringLiteralDfa7_0(long, long) ","(703, 709)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa8_0,"private int jjMoveStringLiteralDfa8_0(long, long) ","(714, 724)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa8_0,"private int jjMoveStringLiteralDfa8_0(long, long) ","(718, 724)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa9_0,"private int jjMoveStringLiteralDfa9_0(long, long) ","(729, 739)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa9_0,"private int jjMoveStringLiteralDfa9_0(long, long) ","(733, 739)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa10_0,"private int jjMoveStringLiteralDfa10_0(long, long) ","(744, 754)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa10_0,"private int jjMoveStringLiteralDfa10_0(long, long) ","(748, 754)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa11_0,"private int jjMoveStringLiteralDfa11_0(long, long) ","(759, 769)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa11_0,"private int jjMoveStringLiteralDfa11_0(long, long) ","(763, 769)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa12_0,"private int jjMoveStringLiteralDfa12_0(long, long) ","(774, 787)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjMoveStringLiteralDfa12_0,"private int jjMoveStringLiteralDfa12_0(long, long) ","(778, 787)"
../projects/CoreNLP/src/edu/stanford/nlp/trees/tregex/tsurgeon/TsurgeonParserTokenManager.java,jjCanMove_0,"private static final boolean jjCanMove_0(int, int, int, long, long) ","(801, 803)"
