source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,trainClassifier,public void trainClassifier(java.lang.String) ,"(68, 70)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,trainClassifier,public void trainClassifier(java.lang.String) ,"(67, 68)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,testClassifier,public void testClassifier(java.lang.String) ,"(81, 108)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,testClassifier,public void testClassifier(java.lang.String) ,"(104, 105)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,testClassifier,public void testClassifier(java.lang.String) ,"(75, 78)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,testClassifier,public void testClassifier(java.lang.String) ,"(81, 106)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,testClassifier,public void testClassifier(java.lang.String) ,"(83, 108)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,outputTestSummary,"private void outputTestSummary(Collection<java.lang.String>, GeneralDataset<java.lang.String,java.lang.String>, IntCounter<java.lang.String>) ","(147, 149)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,outputTestSummary,"private void outputTestSummary(Collection<java.lang.String>, GeneralDataset<java.lang.String,java.lang.String>, IntCounter<java.lang.String>) ","(145, 149)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,outputTestSummary,"private void outputTestSummary(Collection<java.lang.String>, GeneralDataset<java.lang.String,java.lang.String>, IntCounter<java.lang.String>) ","(147, 148)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,outputTestSummary,"private void outputTestSummary(Collection<java.lang.String>, GeneralDataset<java.lang.String,java.lang.String>, IntCounter<java.lang.String>) ","(137, 141)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,outputTestSummary,"private void outputTestSummary(Collection<java.lang.String>, GeneralDataset<java.lang.String,java.lang.String>, IntCounter<java.lang.String>) ","(144, 149)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,readDataset,"private GeneralDataset<java.lang.String,java.lang.String> readDataset(java.lang.String) ","(155, 159)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,readDataset,"private GeneralDataset<java.lang.String,java.lang.String> readDataset(java.lang.String) ","(155, 157)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,readDataset,"private GeneralDataset<java.lang.String,java.lang.String> readDataset(java.lang.String) ","(153, 157)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,makeDatumFromLine,"private Datum<java.lang.String,java.lang.String> makeDatumFromLine(java.lang.String) ","(164, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,makeDatumFromLine,"private Datum<java.lang.String,java.lang.String> makeDatumFromLine(java.lang.String) ","(167, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,makeDatumFromLine,"private Datum<java.lang.String,java.lang.String> makeDatumFromLine(java.lang.String) ","(165, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,makeDatumFromLine,"private Datum<java.lang.String,java.lang.String> makeDatumFromLine(java.lang.String) ","(169, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,makeDatumFromLine,"private Datum<java.lang.String,java.lang.String> makeDatumFromLine(java.lang.String) ","(169, 170)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,main,public static void main(java.lang.String[]) ,"(192, 193)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,main,public static void main(java.lang.String[]) ,"(191, 211)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,main,public static void main(java.lang.String[]) ,"(191, 194)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,main,public static void main(java.lang.String[]) ,"(191, 207)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,main,public static void main(java.lang.String[]) ,"(191, 198)"
../projects/CoreNLP/src/edu/stanford/nlp/international/spanish/pipeline/HamleDTMultiWordClassifier.java,apply,public List<java.lang.String> apply(java.lang.String) ,"(256, 258)"
